filename,num_class_files,num_files_total,filename_length,has_dat_file,class_to_total_ratio,entropy_score,discord_webhook,suspicious_urls,legitimate_connections,data_collection_patterns,token_access_patterns,http_operations_count,base64_usage,network_to_game_ratio,avg_class_name_length,avg_method_name_length,short_class_names_ratio,short_method_names_ratio,total_classes,total_methods,has_mod_metadata,minecraft_api_usage,obfuscation_tools,suspicious_file_operations,filename_entropy,uses_reflection,executes_commands,func_111286_b,discòrd,requestv2,label
Rarity Tooltips For SkyBlock v2.4,0,8,64,0,0.0,6.214806111295856,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.195909270873605,0,0,0,0,0,0
dweebscapeSkyblockAppendDisk - FORGE- MCVER 1.20.1 -1.0.0 ,0,38,64,0,0.0,4.732037898047321,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.697908365556119,0,0,0,0,0,0
PortalDupeBegone-1.0.0,0,8,64,0,0.0,5.250160556047748,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.970573095811685,0,0,0,0,0,0
quilted-fabric-api-1.0.0-beta.28+local-0.67.0-biomefix,0,68,64,0,0.0,5.543513572034576,0,0,0,0,0,14,0,7.0,2.9411764705882355,0.0,0.058823529411764705,0.0,17,0,1,2,0,0,4.32907790105808,0,0,0,0,0,0
Bubble-Planet-Collection_v_1.0,0,18,64,0,0.0,5.114137199113596,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.081727678869736,0,0,0,0,0,0
hotbarapi-compatibility-1.1.0,0,36,64,0,0.0,4.939127879642895,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,3.8404025467025056,0,0,0,0,0,0
CFX-1.9,0,59,64,0,0.0,5.439871273803673,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,2.8073549220576046,0,0,0,0,0,0
create_skyblock_addon-0.7.3-forge-1.20.1,0,45,64,0,0.0,4.932030533008438,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.365311532225102,0,0,0,0,0,0
no-more-leaf-litters-1.21.5,0,16,64,0,0.0,4.16680172035352,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,3.838039816898155,0,0,0,0,0,0
patches-client-1.1.0+mcb1.0,0,17,64,0,0.0,5.231548943487311,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,3.9302703722934536,0,0,0,0,0,0
Skyblock Enchantments,0,177,64,0,0.0,3.9146407235469853,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.880179922675738,0,0,0,0,0,0
skyblocker-5.5.0+1.21.5,0,1305,64,0,0.0,5.483410589790385,0,0,1,0,0,4,33,4.0,4.615384615384615,0.0,0.3076923076923077,0.0,13,0,1,1,1,0,3.795088586397732,0,0,0,0,0,0
